Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Brazil","Area harvested","Soya beans","2014","ha","30273763"
"Crops and livestock products","Brazil","Area harvested","Soya beans","2015","ha","32181243"
"Crops and livestock products","Brazil","Area harvested","Soya beans","2016","ha","33183119"
"Crops and livestock products","Brazil","Area harvested","Soya beans","2017","ha","33959879"
"Crops and livestock products","Brazil","Area harvested","Soya beans","2018","ha","34777936"
"Crops and livestock products","Brazil","Area harvested","Soya beans","2019","ha","35895207"
"Crops and livestock products","Brazil","Area harvested","Soya beans","2020","ha","37188168"
"Crops and livestock products","Brazil","Area harvested","Soya beans","2021","ha","39168068"
"Crops and livestock products","Brazil","Production","Soya beans","2014","tonnes","86760520"
"Crops and livestock products","Brazil","Production","Soya beans","2015","tonnes","97464936"
"Crops and livestock products","Brazil","Production","Soya beans","2016","tonnes","96394820"
"Crops and livestock products","Brazil","Production","Soya beans","2017","tonnes","114732101"
"Crops and livestock products","Brazil","Production","Soya beans","2018","tonnes","117912450"
"Crops and livestock products","Brazil","Production","Soya beans","2019","tonnes","114316829"
"Crops and livestock products","Brazil","Production","Soya beans","2020","tonnes","121797712"
"Crops and livestock products","Brazil","Production","Soya beans","2021","tonnes","134934935"
